question,answer,source,last_updated
ما هي شروط القبول في الجامعة العربية المفتوحة؟,"الحصول على شهادة الثانوية العامة أو ما يعادلها، مع استيفاء متطلبات وزارة التعليم.",https://www.arabou.edu.sa/ar/admission/pages/undergraduate-requirements.aspx,19/8/2025
ما الوثائق المطلوبة للتقديم؟,"أصل الهوية/الإقامة، صورتان شخصيتان، نسخة من شهادة الثانوية.",https://www.arabou.edu.sa/ar/admission/pages/undergraduate-requirements.aspx,26/8/2025
هل يطبق اختبار تحديد المستوى؟,"نعم، يطبق لتحديد مستوى اللغة الإنجليزية والمهارات الأساسية.",https://www.arabou.edu.sa/ar/admission/pages/undergraduate-requirements.aspx,26/8/2025
كيف يتم التسجيل في المواد عبر نظام SIS؟,يتم الدخول على النظام باستخدام الرقم الجامعي وكلمة المرور واختيار المقررات.,https://www.arabou.edu.sa/ar/students/pages/sis.aspx,26/8/2025
ما الحد الأدنى والأقصى للساعات؟,"الحد الأدنى عادة 12 ساعة، والحد الأقصى 21 ساعة للفصل.",https://www.arabou.edu.sa/ar/students/guide/Documents/دليل%20الطلاب%202024.pdf,26/8/2025
هل يمكن تأجيل الدراسة؟,"نعم، يمكن تقديم طلب تأجيل فصل دراسي واحد أو أكثر وفق الشروط.",https://www.arabou.edu.sa/ar/students/guide/Documents/دليل%20الطلاب%202024.pdf,26/8/2025
متى تبدأ وتنتهي فترة السحب والإضافة؟,"تعلن الجامعة في بداية كل فصل، عادة خلال الأسبوع الأول.",https://www.arabou.edu.sa/ar/students/Pages/academic-calendar.aspx,19/8/2025
ماذا يحدث إذا انسحبت من مادة بعد فترة السحب والإضافة؟,يُسجل انسحاب متأخر ولا تسترد الرسوم.,https://www.arabou.edu.sa/ar/students/guide/Documents/دليل%20الطلاب%202024.pdf,26/8/2025
كم تكلفة الساعة للمقررات العامة؟,229 ريال للساعة المعتمدة.,https://www.arabou.edu.sa/ar/admission/Pages/program-details.aspx?degree=1&iid=21,26/8/2025
كم تكلفة الساعة للمقررات التخصصية؟,312 ريال للساعة المعتمدة.,https://www.arabou.edu.sa/ar/admission/Pages/program-details.aspx?degree=1&iid=21,26/8/2025
هل هناك رسوم إضافية؟,"نعم، رسوم تسجيل وخدمات إضافية.",https://www.arabou.edu.sa/ar/admission/Documents/الدليل%20الإجرائي%20لتفعيل%20الجداول.pdf,26/8/2025
كيف يمكن دفع الرسوم؟,"عن طريق التحويل البنكي، البطاقات أو الدفع المباشر في الجامعة.",https://www.arabou.edu.sa/ar/students/Pages/faq.aspx,26/8/2025
هل يوجد تقسيط للرسوم؟,"نعم، توفر الجامعة خطة تقسيط للطلاب.",https://www.arabou.edu.sa/ar/admission/Documents/الدليل%20الإجرائي%20لتفعيل%20الجداول.pdf,26/8/2025
هل الحضور إلزامي؟,"نعم، الحضور إلزامي والغياب لا يتجاوز 25٪.",https://www.arabou.edu.sa/ar/students/guide/Pages/educational-meetings-attendance.aspx,26/8/2025
كم عدد الساعات الصفية لكل ساعة معتمدة؟,4 ساعات تعليمية لكل ساعة معتمدة في الفصل الدراسي.,https://www.arabou.edu.sa/ar/students/guide/Pages/educational-meetings-attendance.aspx,26/8/2025
